,cent,entropy
0,0,202.13122322
1,1,162.13200862
2,2,153.92926853
3,3,147.07852183
4,4,140.88596568
5,5,135.14060868
6,6,129.66985532
7,7,124.47158192
8,8,119.55770091
9,9,114.85505252
10,10,110.38956297
11,11,106.1837577
12,12,102.09853827
13,13,98.104224958
14,14,94.425688879
15,15,90.825228394
16,16,87.388688816
17,17,83.977980992
18,18,80.692475475
19,19,77.619187691
20,20,74.607585564
21,21,71.653792394
22,22,68.795346673
23,23,65.995397373
24,24,63.349658424
25,25,60.801307487
26,26,58.401820578
27,27,55.999935196
28,28,53.653933355
29,29,51.457793707
30,30,49.306720162
31,31,47.253085214
32,32,45.220296277
33,33,43.260148197
34,34,41.399983577
35,35,39.591867159
36,36,37.818197009
37,37,36.168356405
38,38,34.494863334
39,39,32.901330189
40,40,31.339207831
41,41,29.851016793
42,42,28.397381887
43,43,26.993976614
44,44,25.677788958
45,45,24.409353263
46,46,23.184356173
47,47,21.984387938
48,48,20.81820392
49,49,19.72921158
50,50,18.655483344
51,51,17.629482808
52,52,16.65622528
53,53,15.719384199
54,54,14.822800723
55,55,13.955238276
56,56,13.122357473
57,57,12.333279146
58,58,11.57617101
59,59,10.847404649
60,60,10.169902859
61,61,9.5190464823
62,62,8.8966447434
63,63,8.2899907454
64,64,7.7280717319
65,65,7.187740415
66,66,6.6793441019
67,67,6.203401347
68,68,5.7528574292
69,69,5.3219457914
70,70,4.9218035199
71,71,4.5469379878
72,72,4.1929226206
73,73,3.8551695712
74,74,3.5397497211
75,75,3.2468717723
76,76,2.9698696468
77,77,2.7118532262
78,78,2.4731238387
79,79,2.2544998706
80,80,2.0474851795
81,81,1.8554431001
82,82,1.6762197002
83,83,1.5106488894
84,84,1.3562191432
85,85,1.2133144431
86,86,1.0825343905
87,87,0.95951958664
88,88,0.8477251724
89,89,0.74322990055
90,90,0.6458334968
91,91,0.55640622906
92,92,0.47507769322
93,93,0.39896313651
94,94,0.32760236737
95,95,0.26280937862
96,96,0.20415432927
97,97,0.14932088512
98,98,0.099328261578
99,99,0.051878656227
100,100,9.602579797e-05
