0 	 0.00828286 
1 	 1.52275 
2 	 2.14218 
3 	 2.62546 
4 	 3.03226 
5 	 3.38874 
6 	 3.71087 
7 	 4.00131 
8 	 4.27373 
9 	 4.53513 
10 	 4.77822 
11 	 5.01271 
12 	 5.23411 
13 	 5.44607 
14 	 5.65355 
15 	 5.85101 
16 	 6.03931 
17 	 6.22444 
18 	 6.40443 
19 	 6.57955 
20 	 6.75102 
21 	 6.91945 
22 	 7.08161 
23 	 7.2391 
24 	 7.39521 
25 	 7.54734 
26 	 7.69773 
27 	 7.84238 
28 	 7.98638 
29 	 8.12687 
30 	 8.26324 
31 	 8.40108 
32 	 8.5368 
33 	 8.66952 
34 	 8.80068 
35 	 8.92979 
36 	 9.05558 
37 	 9.18298 
38 	 9.30617 
39 	 9.42736 
40 	 9.54804 
41 	 9.66749 
42 	 9.7844 
43 	 9.89898 
44 	 10.0151 
45 	 10.1299 
46 	 10.2408 
47 	 10.3518 
48 	 10.4609 
49 	 10.5706 
50 	 10.6784 
51 	 10.7853 
52 	 10.8897 
53 	 10.9953 
54 	 11.0987 
55 	 11.2016 
56 	 11.3038 
57 	 11.4049 
58 	 11.5038 
59 	 11.6021 
60 	 11.6997 
61 	 11.7965 
62 	 11.8932 
63 	 11.9903 
64 	 12.085 
65 	 12.1799 
66 	 12.273 
67 	 12.3645 
68 	 12.4554 
69 	 12.5477 
70 	 12.64 
71 	 12.7307 
72 	 12.8204 
73 	 12.9093 
74 	 12.9988 
75 	 13.0873 
76 	 13.1734 
77 	 13.2598 
78 	 13.346 
79 	 13.4322 
80 	 13.518 
81 	 13.6064 
82 	 13.6942 
83 	 13.7829 
84 	 13.8728 
85 	 13.9649 
86 	 14.0573 
87 	 14.153 
88 	 14.2519 
89 	 14.3542 
90 	 14.4619 
91 	 14.5762 
92 	 14.6974 
93 	 14.8295 
94 	 14.9767 
95 	 15.1407 
96 	 15.3324 
97 	 15.5675 
98 	 15.8829 
99 	 16.3913 
100 	 19.9788 
